Isolate	Extra_name_info	Clustered_Morphotype	OTU_Clustering	Phylum	Class	Order	Family	Genus	Species
582	ITS			Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus pinophilus
584				Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
586				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	NA
588				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
589				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
592	ITS			Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
604				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
608				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
617				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
632				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
633				Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium slooffiae
642				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
643				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
646				Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
648				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
653				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
667				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
675				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
711				Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	NA
714				Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
715				Ascomycota	Leotiomycetes	Helotiales	Helotiales_incertae_sedis	Tetracladium	Bambusaria bambusae
719	ITS			Ascomycota	Leotiomycetes	Helotiales	Cadophora	NA	NA
729				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
741	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium kurunegalense
745				Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria	NA
746	second			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
746				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium mahasenii
766	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	NA
778				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
780	ITS			Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Fusarium	NA
780				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
787	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium mahasenii
796				Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium slooffiae
812				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
818	ITS			Ascomycota	Sordariomycetes	NA	NA	NA	NA
820				Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
822				Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	NA
826				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
833	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
847				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
850				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
851				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
856	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	NA
857				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
858				Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
861	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
864				Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA
868				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
870				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
875				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
878				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
881				Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	NA
883				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
887				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
889				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
903	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
903				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
906				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
916				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
923				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
925				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium mahasenii
928				Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula elaeagni
938				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
956				Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	NA
969				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
978				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
983	ITS			Basidiomycota	NA	NA	NA	NA	NA
986				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
995				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
1000	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1003				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1021	ITS			Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
1031				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
1041				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1096	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1100	ITS			Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
1104	ITS			Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
1114	ITS			Ascomycota	Leotiomycetes	Helotiales	Cadophora	Cadophora_orchidicola	NA
1115				Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
1121				Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Neottiosporina	NA
1125	ITS			Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula elaeagni
1126	ITS			Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula elaeagni
1129				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
1132				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1135	ITS			Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Laetisaria	Laetisaria fuciformis
1141	ITS			Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula elaeagni
1146				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1155	ITS			Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus pinophilus
1158				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1208	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1208				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1217				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1231				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1233				Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
1245				Ascomycota	Dothideomycetes	Pleosporales	Botryosphaeriaceae	Microdiplodia	NA
1255				Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Marasmiellus	Marasmiellus tricolor
1287				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Leveillula elaeagni
1288	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1319	ITS			Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Leveillula	Leveillula elaeagni
1325	ITS			Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1338				Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Obolarina	NA
1342				Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	NA
1421				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
1422				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1461	ITS			Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
1462	ITS			Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
1466				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
1471	ITS			Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella amoeboidea
1486	ITS			Basidiomycota	NA	NA	NA	NA	NA
1494				Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
1510				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
1512				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1533	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1535	ITS			Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Mollisia	Leveillula elaeagni
1544	ITS			Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
1560	second			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
1560				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1563				Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	NA
1568				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1571	ITS			Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Drechslera	NA
1617	ITS			Ascomycota	Dothideomycetes	Valsariales	Valsariaceae	Bambusaria	Bambusaria bambusae
1619				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1620				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
1637				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1638	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1639				Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	NA
1641	ITS			Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella globulifera
1641				Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella globulifera
1642				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1653				Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Obolarina	NA
1654				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
1661				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
DS167	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
DS199				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
DS200				Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea alpha
DS215				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
L4	ITS			Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
R10				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
